key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trialnumber,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f813d7e8973881f63254341,5fb5daaf5aa8461d3c2fd7a3,2020-11-18_23h40.09.657,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,1,FF,-31,-60,1,0,0,response5disk_5,7,3,3.554865,-2,-2,1,0,0,rectangle_8,-82,-53,1,0,0,2,-13,-2,1,0,0,0,5,5,0,1,response5disk_7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f813d7e8973881f63254341,5fb5daaf5aa8461d3c2fd7a3,2020-11-18_23h40.09.657,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,4,FF,91,36,1,0,0,response1disk_5,8,6,16.02689,10,-6,1,0,0,rectangle_8,10,-6,1,0,0,2,10,-6,1,0,0,0,6,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f813d7e8973881f63254341,5fb5daaf5aa8461d3c2fd7a3,2020-11-18_23h40.09.657,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,3,9.8364,,,,,,,,,,,,,,,,,,,,,,,,,space,31.57956,4,-35,-73,1,0,0,response5disk,5,3,-7,1,0,0,rectangle,3,-7,1,0,0,,4,"[68,38,37,321,25,250,73,77,243,188,249,296,11,223,252,46,316,130,161,288]",3,-7,1,0,0,0,1,0,0,49,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f813d7e8973881f63254341,5fb5daaf5aa8461d3c2fd7a3,2020-11-18_23h40.09.657,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,5,9.948655,,,,,,,,,,,,,,,,,,,,,,,,,,,1,93,-50,1,0,0,response3disk,5,12,-6,1,0,0,rectangle,12,-6,1,0,0,,0,"[68,38,37,321,25,250,73,77,243,188,249,296,11,223,252,46,316,130,161,288]",12,-6,1,0,0,0,2,1,1,28,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f813d7e8973881f63254341,5fb5daaf5aa8461d3c2fd7a3,2020-11-18_23h40.09.657,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,2,5.0297,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-70,-37,1,0,0,response5disk,2,-7,-1,1,0,0,rectangle,-7,-1,1,0,0,,2,"[68,38,37,321,25,250,73,77,243,188,249,296,11,223,252,46,316,130,161,288]",-7,-1,1,0,0,0,3,2,2,36,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f813d7e8973881f63254341,5fb5daaf5aa8461d3c2fd7a3,2020-11-18_23h40.09.657,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,2,12.85048,,,,,,,,,,,,,,,,,,,,,,,,,,,9,-87,-39,1,0,0,response5disk,1,-7,-3,1,0,0,rectangle,-7,-3,1,0,0,,4,"[68,38,37,321,25,250,73,77,243,188,249,296,11,223,252,46,316,130,161,288]",-7,-3,1,0,0,0,4,3,3,74,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f813d7e8973881f63254341,5fb5daaf5aa8461d3c2fd7a3,2020-11-18_23h40.09.657,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,6,3.307675,,,,,,,,,,,,,,,,,,,,,,,,,,,3,87,34,1,0,0,response1disk,5,-6,-3,1,0,0,rectangle,-6,-3,1,0,0,,4,"[68,38,37,321,25,250,73,77,243,188,249,296,11,223,252,46,316,130,161,288]",-6,-3,1,0,0,0,5,4,4,66,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f813d7e8973881f63254341,5fb5daaf5aa8461d3c2fd7a3,2020-11-18_23h40.09.657,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,6,4.05043,,,,,,,,,,,,,,,,,,,,,,,,,,,8,72,27,1,0,0,response1disk,2,-3,-3,1,0,0,rectangle,-3,-3,1,0,0,,4,"[68,38,37,321,25,250,73,77,243,188,249,296,11,223,252,46,316,130,161,288]",-3,-3,1,0,0,0,6,5,5,83,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f813d7e8973881f63254341,5fb5daaf5aa8461d3c2fd7a3,2020-11-18_23h40.09.657,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,0,7.801715,,,,,,,,,,,,,,,,,,,,,,,,,,,9,-39,72,1,0,0,response7disk,9,4,3,1,0,0,rectangle,4,3,1,0,0,,6,"[68,38,37,321,25,250,73,77,243,188,249,296,11,223,252,46,316,130,161,288]",4,3,1,0,0,0,7,6,6,106,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f813d7e8973881f63254341,5fb5daaf5aa8461d3c2fd7a3,2020-11-18_23h40.09.657,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,0,2.72595,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-44,91,1,0,0,response7disk,4,2,6,1,0,0,rectangle,2,6,1,0,0,,0,"[68,38,37,321,25,250,73,77,243,188,249,296,11,223,252,46,316,130,161,288]",2,6,1,0,0,0,8,7,7,84,1,,,,,,,,,,,,,,,,,,,,,
